coded_direction,Name,Group
1,I-80 EB Between US65N and US65S,c
2,I-80 WB Between US65N and US65S,c
1,I-80 EB @ 34th Ave NW,c
2,I-80 WB @ 34th Ave NW,c
1,I-80 EB @ Hubbell - Altoona,c
2,I-80 WB @ Hubbell - Altoona,c
1,I-80 EB @ DMS - Altoona,c
2,I-80 WB @ DMS - Altoona,c
1,I-80 EB East of 1st Ave N - Alto,c
2,I-80 WB East of 1st Ave N - Alto,c
1,I-80 EB @ NE 62nd Ave - Altoona,c
2,I-80 WB @ NE 62nd Ave - Altoona,c
1,IWZ 3089 EB,c
2,IWZ 3089 WB,c
1,IWZ 3518 EB,c
2,IWZ 3518 WB,c
1,IWZ2992 - US 20 WB @ MM 152.2,1a
2,IWZ2992 - US 20 EB @ MM 152.2,1a
1,IWZ2990 - US 20 WB @ I-35 SB On,1a
2,IWZ2990 - US 20 EB @ I-35 SB Off,1a
1,IWZ2999 - US 20 WB @ Vail Ave,1a
2,IWZ2999 - US 20 EB @ Vail Ave,1a
1,IWZ2994 - US 20 WB @ MM 154.15,1a
2,IWZ2994 - US 20 EB @ MM 154.15,1a
1,I-80 EB at 84th Street,1c
1,IWZ2995 - I-80 EB @ MM 172.50,1c
1,I-80 EB at Hwy T22,1c
1,I-80 EB at 108th Street,1c
1,IWZ2987 - I-80 EB @ MM 175.55,1c
1,IWZ3091 - I-80 EB @ MM 176.35,1c
1,IWZ3062 - I-80 EB @ MM 177.00,1c
1,IWZ2005 - I-80 EB @ MM 178.20,1c
1,IWZ3069 - I-80 EB @ Hwy T38 On R,1c
1,IWZ3309 - I-80 EB @ Grinnell RA,1c
2,I-80 WB at 84th Street,1c
2,IWZ2995 - I-80 WB @ MM 172.50,1c
2,I-80 WB at Hwy T22,1c
2,I-80 WB at 108th Street,1c
2,IWZ2987 - I-80 WB @ MM 175.55,1c
2,IWZ3091 - I-80 WB @ MM 176.35,1c
2,IWZ3062 - I-80 WB @ MM 177.00,1c
2,IWZ2005 - I-80 WB @ MM 178.20,1c
2,IWZ3069 - I-80 WB @ Hwy T38 Off,1c
2,IWZ3309 - I-80 WB @ Grinnell RA,1c
1,IWZ 3075 NB,1q
2,IWZ 3075 SB,1q
1,IWZ2989 - US 65 NB @ MM 62,1r
2,IWZ2989 - US 65 SB @ MM 62,1r
1,IWZ3083 - US 65 NB @ MM 63,1r
2,IWZ3083 - US 65 SB @ MM 63,1r
1,I-35 NB @ NE 36th St,1t
2,I-35 SB @ NE 36th St,1t
1,I-35 NB @ NE 126th Ave,1t
2,I-35 SB @ NE 126th Ave,1t
1,I-35 NB @ NE 142nd Ave,1t
2,I-35 SB @ NE 142nd Ave,1t
1,I-35 NB @ NE 158th Ave,1t
2,I-35 SB @ NE 158th Ave,1t
1,I-35 NB @ IA 210,1t
2,I-35 SB @ IA 210,1t
2,I-35 SB @ Heart of Iowa Nature T,1t
1,I-35 NB @ MP 105.7,1t
2,I-35 SB @ MP 105.7,1t
1,I-35 NB @ MP 107.8,1t
2,I-35 SB @ MP 107.8,1t
1,I-35 NB @ County Rd E57,1t
2,I-35 SB @ County Rd E57,1t
1,I-35 NB S of US 30,1t
2,I-35 SB S of US 30,1t
1,I-35 NB @ US 30 North,1t
2,I-35 SB @ US 30 North,1t
1,I-35 NB @ US 30 South,1t
2,I-35 SB @ US 30 South,1t
1,I-35 NB @ E Lincoln Way,1t
2,I-35 SB @ E Lincoln Way,1t
1,I-35 NB @ E 13th St,1t
2,I-35 SB @ E 13th St,1t
1,I-35 NB @ County Highway E29,1t
2,I-35 SB @ County Highway E29,1t
1,IWZ3546 - I-35 NB @ MM 183.2,2a
1,IWZ3053 - I-35 NB @ MM 185.1,2a
1,IWZ3553 - I-35 NB @ MM 186.05,2a
2,IWZ3546 - I-35 SB @ MM 183.2,2a
2,IWZ3053 - I-35 SB @ MM 185.1,2a
2,IWZ3553 - I-35 SB @ MM 186.05,2a
1,CBDS 26 NB,i
2,CBDS 26 SB,i
1,CBDS 52 NB,i
2,CBDS 52 SB,i
1,CBDS 27 NB,i
2,CBDS 27 SB,i
1,IWZ 3090 NB,i
2,IWZ 3090 SB,i
1,CBDS 28 NB,i
2,CBDS 28 SB,i
2,CBDS 18 SB from I-80 WB,i
2,CBDS 16 EB Thru to I-29 SB,i
1,CBDS 17 I-29 NB,i
2,CBDS 17 I-29 SB,i
1,CBDS 14 WB,i
2,CBDS 14 EB,i
2,I-80 CBDS 57 EB,i
1,CBDS 12 WB,i
2,CBDS 12 EB,i
1,CBDS-59-WB,i
2,CBDS 10 EB,i
1,CBDS 10 WB,i
1,I-80 CBDS 58 WB,i
2,I-80 CBDS 56 EB,i
1,I-80 CBDS 55 WB,i
2,I-80 CBDS 55 EB,i
2,CBDS 08 EB_2,i
1,CBDS 05 I-29 NB,i
1,CBDS 31 NB,i
2,CBDS 31 SB,i
1,CBDS 32 NB,i
2,CBDS 32 SB,i
1,CBDS 33 NB,i
2,CBDS 33 SB,i
1,CBDS 34 NB,i
2,CBDS 34 SB,i
2,CBDS 35 SB,i
1,CBDS 37 NB,i
2,CBDS 38 SB,i
1,CBDS 40 NB,i
2,CBDS 40 SB,i
1,CBDS 41 NB,i
2,CBDS 41 SB,i
1,CBDS 42 NB,i
2,CBDS 42 SB,i
1,CBDS 43 NB,i
2,CBDS 43 SB,i
1,CBDS 44 NB,i
2,CBDS 45 SB,i
1,CBDS 01 I-80 EB,j
2,CBDS 01 I-80 WB,j
1,CBDS 08 EB_2,j
2,I-80 CBDS 55 WB,j
1,I-80 CBDS 55 EB,j
1,I-80 CBDS 56 EB,j
2,I-80 CBDS 58 WB,j
1,CBDS 10 EB,j
2,CBDS 10 WB,j
1,CBDS 12 EB,j
2,CBDS 12 WB,j
1,I-80 CBDS 57 EB,j
2,CBDS-59-WB,j
1,CBDS 14 EB,j
2,CBDS 14 WB,j
1,CBDS 17 I-80 EB,j
2,CBDS 17 I-80 WB,j
1,CBDS 16 EB Thru to I-80 EB,j
1,CBDS 20 EB,j
2,CBDS 20 WB,j
