sensor,date,hour,min5,speed,count,occup,direction,group
I-35 NB @ IA 210,12/31/16,3,7,64.895836,6,0.2857143,1,1t
I-35 NB @ IA 210,12/31/16,4,6,68.39844,16,1.1875,1,1t
I-35 NB @ IA 210,12/31/16,5,5,69.6875,20,1.3529412,1,1t
I-35 NB @ IA 210,12/31/16,6,4,73.97059,17,0.73333335,1,1t
I-35 NB @ IA 210,12/31/16,7,3,78.28125,32,1.3529412,1,1t
I-35 NB @ IA 210,12/31/16,8,2,79.4375,50,2.5,1,1t
I-35 NB @ IA 210,12/31/16,9,1,78.69231,65,2.2380953,1,1t
I-35 NB @ IA 210,12/31/16,9,10,81.78006,79,2.6666667,1,1t
I-35 NB @ IA 210,12/31/16,10,3,81.13567,82,3.0555556,1,1t
I-35 NB @ IA 210,12/31/16,11,2,80.416664,90,2.7727273,1,1t
I-35 NB @ IA 210,12/31/16,12,1,82.427635,95,2.9047618,1,1t
I-35 NB @ IA 210,12/31/16,12,10,83.61702,94,2.5833333,1,1t
I-35 NB @ IA 210,12/31/16,13,0,82.228615,76,2.173913,1,1t
I-35 NB @ IA 210,12/31/16,0,1,78.58173,26,1.0588236,1,1t
I-35 NB @ IA 210,12/31/16,1,0,70.78125,8,0.4,1,1t
I-35 NB @ IA 210,12/31/16,4,9,69.204544,11,0.75,1,1t
I-35 NB @ IA 210,12/31/16,5,8,77.734375,8,0.35714287,1,1t
I-35 NB @ IA 210,12/31/16,6,10,76.00961,26,1,1,1t
I-35 NB @ IA 210,12/31/16,6,7,76.875,19,0.8125,1,1t
I-35 NB @ IA 210,12/31/16,7,6,81.52344,32,1.1875,1,1t
I-35 NB @ IA 210,12/31/16,8,5,80.3375,50,1.9444444,1,1t
I-35 NB @ IA 210,12/31/16,9,4,81.97635,74,2.4545455,1,1t
I-35 NB @ IA 210,12/31/16,10,6,81.05718,94,2.8181818,1,1t
I-35 NB @ IA 210,12/31/16,11,5,83.03354,82,2.7,1,1t
I-35 NB @ IA 210,12/31/16,12,4,82.32895,95,2.6086957,1,1t
I-35 NB @ IA 210,12/31/16,13,3,82.179276,76,2.8235295,1,1t
I-35 NB @ IA 210,12/31/16,14,11,82.44079,95,3.142857,1,1t
I-35 NB @ IA 210,12/31/16,14,2,82.68486,71,2.1,1,1t
I-35 NB @ IA 210,12/31/16,15,1,84.26846,88,2.590909,1,1t
I-35 NB @ IA 210,12/31/16,16,0,81.79375,100,2.7916667,1,1t
I-35 NB @ IA 210,12/31/16,19,9,80.575,25,1.5555556,1,1t
I-35 NB @ IA 210,12/31/16,22,9,78.4046,38,1.1111112,1,1t
I-35 NB @ IA 210,12/31/16,23,8,79.411766,17,0.73333335,1,1t
I-35 NB @ IA 210,12/31/16,16,9,81.90512,83,2.4285715,1,1t
I-35 NB @ IA 210,12/31/16,17,11,81.06399,84,3,1,1t
I-35 NB @ IA 210,12/31/16,17,8,82.19093,91,2.95,1,1t
I-35 NB @ IA 210,12/31/16,11,9,81.5625,92,2.9047618,1,1t
I-35 NB @ IA 210,12/31/16,12,8,80.48508,134,3.875,1,1t
I-35 NB @ IA 210,12/31/16,13,10,82.916664,87,2.7142856,1,1t
I-35 NB @ IA 210,12/31/16,18,7,78.328125,80,2.6,1,1t
I-35 NB @ IA 210,12/31/16,19,6,83.885414,60,2,1,1t
I-35 NB @ IA 210,12/31/16,20,11,79.791664,54,1.7894737,1,1t
I-35 NB @ IA 210,12/31/16,23,5,85.255684,22,0.5625,1,1t
I-35 NB @ IA 210,12/31/16,23,4,83.57143,21,0.6,1,1t
I-35 NB @ IA 210,12/31/16,22,5,82.1875,30,0.8235294,1,1t
