Direction,coded_direction,IWZ,Latitude,Longitude,Name,SegmentLength,Group,Group_new,ID,Linear-Reference,order,ProjectName,Portable,APS,Device,GID
EB,1,0,41.661907,-93.507489,I-80 EB Between US65N and US65S,0.1,c,Group 1 - 1.3 - I80,1,141.4,1,Project 1.3,0,0,Sensor,85460
WB,2,0,41.6621,-93.507509,I-80 WB Between US65N and US65S,0.1,c,Group 1 - 1.3 - I80,2,141.4,1,Project 1.3,0,0,Sensor,85460
EB,1,0,41.661952,-93.50325,I-80 EB @ 34th Ave NW,0.35,c,Group 1 - 1.3 - I80,3,141.6,2,Project 1.3,0,1,Sensor,85460
WB,2,0,41.662118,-93.503255,I-80 WB @ 34th Ave NW,0.35,c,Group 1 - 1.3 - I80,4,141.6,2,Project 1.3,0,1,Sensor,85460
EB,1,0,41.661537,-93.493663,I-80 EB @ Hubbell - Altoona,0.7,c,Group 1 - 1.3 - I80,5,142.1,3,Project 1.3,0,0,Sensor,85461
WB,2,0,41.661537,-93.493663,I-80 WB @ Hubbell - Altoona,0.7,c,Group 1 - 1.3 - I80,6,142.1,3,Project 1.3,0,0,Sensor,85461
EB,1,0,41.662284,-93.47803,I-80 EB @ DMS - Altoona,1,c,Group 1 - 1.3 - I80,7,143,4,Project 1.3,0,1,Sensor,85463
WB,2,0,41.663182,-93.478662,I-80 WB @ DMS - Altoona,1,c,Group 1 - 1.3 - I80,8,143,4,Project 1.3,0,1,Sensor,85463
EB,1,0,41.669308,-93.458011,I-80 EB East of 1st Ave N - Alto,0.95,c,Group 1 - 1.3 - I80,9,144.1,5,Project 1.3,0,1,Sensor,85465
WB,2,0,41.669509,-93.458077,I-80 WB East of 1st Ave N - Alto,0.95,c,Group 1 - 1.3 - I80,10,144.1,5,Project 1.3,0,1,Sensor,85465
EB,1,0,41.671816,-93.443833,I-80 EB @ NE 62nd Ave - Altoona,2.69,c,Group 1 - 1.3 - I80,11,144.9,6,Project 1.3,0,1,Sensor,86126
WB,2,0,41.671994,-93.444046,I-80 WB @ NE 62nd Ave - Altoona,2.69,c,Group 1 - 1.3 - I80,12,144.9,6,Project 1.3,0,1,Sensor,86126
EB,1,0,41.680169,-93.356314,IWZ 3089 EB,6.2,c,Group 1 - 1.3 - I80,13,149.48,7,Project 1.3,1,1,Sensor,86795
WB,2,0,41.681205,-93.356362,IWZ 3089 WB,6.2,c,Group 1 - 1.3 - I80,14,149.48,7,Project 1.3,1,1,Sensor,86795
EB,1,0,41.699219,-93.208333,IWZ 3518 EB,3.91,c,Group 1 - 1.3 - I80,15,157.3,8,Project 1.3,1,1,Sensor,87470
WB,2,0,41.700228,-93.20838,IWZ 3518 WB,3.91,c,Group 1 - 1.3 - I80,16,157.3,8,Project 1.3,1,1,Sensor,88130
WB,1,0,42.44899,-93.585679,IWZ2992 - US 20 WB @ MM 152.2,0.15,1a,Group 1a,1,152.2,1,Project 1a,1,0,Sensor,136932
EB,2,0,42.44851,-93.58568,IWZ2992 - US 20 EB @ MM 152.2,0.825,1a,Group 1a,2,152.2,1,Project 1a,1,1,Sensor,136932
WB,1,0,42.448912,-93.57829,IWZ2990 - US 20 WB @ I-35 SB On,0.975,1a,Group 1a,3,152.5,2,Project 1a,1,0,Sensor,136933
EB,2,0,42.44857,-93.57828,IWZ2990 - US 20 EB @ I-35 SB Off,0.15,1a,Group 1a,4,152.5,2,Project 1a,1,1,Sensor,136933
WB,1,0,42.44857,-93.55871,IWZ2999 - US 20 WB @ Vail Ave,0.575,1a,Group 1a,5,153,3,Project 1a,1,1,Sensor,136935
EB,2,0,42.448678,-93.558724,IWZ2999 - US 20 EB @ Vail Ave,0.575,1a,Group 1a,6,153,3,Project 1a,1,0,Sensor,136935
WB,1,0,42.44856,-93.5469,IWZ2994 - US 20 WB @ MM 154.15,0.25,1a,Group 1a,7,154.15,4,Project 1a,1,1,Sensor,136936
EB,2,0,42.448667,-93.54691,IWZ2994 - US 20 EB @ MM 154.15,0.4,1a,Group 1a,8,154.15,4,Project 1a,1,0,Sensor,136936
EB,1,0,41.679823,-92.941603,I-80 EB at 84th Street,0.55,1c,Group 1c,1,171.4,1,Project 1c,1,0,Sensor,86176
EB,1,0,41.681061,-92.920124,IWZ2995 - I-80 EB @ MM 172.50,0.8,1c,Group 1c,2,172.5,2,Project 1c,1,0,Sensor,86838
EB,1,0,41.682381,-92.902665,I-80 EB at Hwy T22,0.8,1c,Group 1c,3,173,3,Project 1c,1,0,Sensor,86840
EB,1,0,41.68703,-92.881663,I-80 EB at 108th Street,1.275,1c,Group 1c,4,174.1,4,Project 1c,1,0,Sensor,86842
EB,1,0,41.69328,-92.863834,IWZ2987 - I-80 EB @ MM 175.55,1.125,1c,Group 1c,5,175.55,5,Project 1c,1,0,Sensor,87504
EB,1,0,41.694758,-92.849191,IWZ3091 - I-80 EB @ MM 176.35,0.725,1c,Group 1c,6,176.35,6,Project 1c,1,0,Sensor,87506
EB,1,0,41.694828,-92.836348,IWZ3062 - I-80 EB @ MM 177.00,0.925,1c,Group 1c,7,177,7,Project 1c,1,0,Sensor,87507
EB,1,0,41.694939,-92.81363,IWZ2005 - I-80 EB @ MM 178.20,1.1,1c,Group 1c,8,178.2,8,Project 1c,1,0,Sensor,87509
EB,1,0,41.695003,-92.792144,IWZ3069 - I-80 EB @ Hwy T38 On R,1.05,1c,Group 1c,9,179.2,9,Project 1c,1,0,Sensor,87511
EB,1,0,41.695129,-92.77137,IWZ3309 - I-80 EB @ Grinnell RA,0.55,1c,Group 1c,10,180.3,10,Project 1c,1,0,Sensor,87513
WB,2,0,41.680028,-92.941613,I-80 WB at 84th Street,0.55,1c,Group 1c,11,171.4,1,Project 1c,1,0,Sensor,86836
WB,2,0,41.681562,-92.920222,IWZ2995 - I-80 WB @ MM 172.50,0.8,1c,Group 1c,12,172.5,2,Project 1c,1,0,Sensor,86838
WB,2,0,41.68263,-92.902737,I-80 WB at Hwy T22,0.8,1c,Group 1c,13,173,3,Project 1c,1,0,Sensor,86840
WB,2,0,41.687183,-92.881869,I-80 WB at 108th Street,1.275,1c,Group 1c,14,174.1,4,Project 1c,1,0,Sensor,86842
WB,2,0,41.693709,-92.864177,IWZ2987 - I-80 WB @ MM 175.55,1.125,1c,Group 1c,15,175.55,5,Project 1c,1,0,Sensor,87504
WB,2,0,41.695369,-92.849218,IWZ3091 - I-80 WB @ MM 176.35,0.725,1c,Group 1c,16,176.35,6,Project 1c,1,0,Sensor,87506
WB,2,0,41.695442,-92.83635,IWZ3062 - I-80 WB @ MM 177.00,0.925,1c,Group 1c,17,177,7,Project 1c,1,0,Sensor,87507
WB,2,0,41.695553,-92.813651,IWZ2005 - I-80 WB @ MM 178.20,1.1,1c,Group 1c,18,178.2,8,Project 1c,1,0,Sensor,87509
WB,2,0,41.695607,-92.792187,IWZ3069 - I-80 WB @ Hwy T38 Off,1.05,1c,Group 1c,19,179.2,9,Project 1c,1,0,Sensor,87511
WB,2,0,41.695629,-92.77138,IWZ3309 - I-80 WB @ Grinnell RA,0.55,1c,Group 1c,20,180.3,10,Project 1c,1,0,Sensor,87513
NB,1,0,42.1178,-93.55219,IWZ 3075 NB,9999,1q,Group 1q,1,118.9,1,Project 1q,1,1,Sensor,115155
SB,2,0,42.117778,-93.552854,IWZ 3075 SB,9999,1q,Group 1q,2,118.9,1,Project 1q,1,0,Sensor,115155
NB,1,0,41.40468,-93.5584,IWZ2989 - US 65 NB @ MM 62,0.5,1r,Group 1r,1,62,1,Project 1r,1,1,Sensor,68295
SB,2,0,41.404669,-93.559211,IWZ2989 - US 65 SB @ MM 62,0.5,1r,Group 1r,2,62,1,Project 1r,1,0,Sensor,68295
NB,1,0,41.42072,-93.55833,IWZ3083 - US 65 NB @ MM 63,0.5,1r,Group 1r,3,63,2,Project 1r,1,1,Sensor,69615
SB,2,0,41.420656,-93.5592,IWZ3083 - US 65 SB @ MM 63,0.5,1r,Group 1r,4,63,2,Project 1r,1,0,Sensor,69615
NB,1,0,41.761241,-93.569112,I-35 NB @ NE 36th St,1,1t,Group 1t,226,94.8,1,Project 1t,0,0,Sensor,92054
SB,2,0,41.76119,-93.569449,I-35 SB @ NE 36th St,1,1t,Group 1t,255,94.8,1,Project 1t,0,0,Sensor,92054
NB,1,0,41.791254,-93.570257,I-35 NB @ NE 126th Ave,2,1t,Group 1t,227,96.8,2,Project 1t,0,0,Sensor,94033
SB,2,0,41.791235,-93.570544,I-35 SB @ NE 126th Ave,2,1t,Group 1t,254,96.8,2,Project 1t,0,0,Sensor,94033
NB,1,0,41.820534,-93.570718,I-35 NB @ NE 142nd Ave,2,1t,Group 1t,228,98.8,3,Project 1t,0,0,Sensor,96013
SB,2,0,41.820534,-93.570991,I-35 SB @ NE 142nd Ave,2,1t,Group 1t,253,98.8,3,Project 1t,0,0,Sensor,96013
NB,1,0,41.849689,-93.570935,I-35 NB @ NE 158th Ave,2,1t,Group 1t,229,100.8,4,Project 1t,0,0,Sensor,97333
SB,2,0,41.849691,-93.571214,I-35 SB @ NE 158th Ave,2,1t,Group 1t,252,100.8,4,Project 1t,0,0,Sensor,97333
NB,1,0,41.877697,-93.571049,I-35 NB @ IA 210,1.55,1t,Group 1t,230,102.8,5,Project 1t,0,0,Sensor,99313
SB,2,0,41.877695,-93.571334,I-35 SB @ IA 210,1.55,1t,Group 1t,251,102.8,5,Project 1t,0,0,Sensor,99313
NB,1,0,41.893732,-93.570946,I-35 NB @ Heart of Iowa Nature T,1.45,1t,Group 1t,231,103.9,6,Project 1t,0,0,Sensor,100633
SB,2,0,41.893736,-93.57122,I-35 SB @ Heart of Iowa Nature T,1.45,1t,Group 1t,250,103.9,6,Project 1t,0,0,Sensor,100633
NB,1,0,41.919277,-93.570074,I-35 NB @ MP 105.7,1.95,1t,Group 1t,232,105.7,7,Project 1t,0,0,Sensor,101953
SB,2,0,41.919244,-93.570325,I-35 SB @ MP 105.7,1.95,1t,Group 1t,249,105.7,7,Project 1t,0,0,Sensor,101953
NB,1,0,41.949573,-93.569597,I-35 NB @ MP 107.8,2.05,1t,Group 1t,233,107.8,8,Project 1t,0,0,Sensor,103934
SB,2,0,41.949531,-93.569873,I-35 SB @ MP 107.8,2.05,1t,Group 1t,248,107.8,8,Project 1t,0,0,Sensor,103934
NB,1,0,41.979355,-93.570454,I-35 NB @ County Rd E57,1.85,1t,Group 1t,234,109.8,9,Project 1t,0,0,Sensor,105913
